Neighborhood,Adress,Apartment,House,Price,Rooms,Baths,Sq Ft,Sq Ft Lot,Year Built,View,Fire Place,Levels,Attached Garage,Total Parking Space,Pool
Angelino-Heights,139 S Los Robles Ave Unit 306,1,0,640000.0,1.0,1.0,760.0,760.0,1927.0,0,0,1,1,1.0,0
Angelino-Heights,2560 Valentine St Unit 10,1,0,699990.0,3.0,3.0,1283.0,1283.0,2022.0,1,0,3,1,2.0,0
Angelino-Heights,750 N El Molino Ave,0,1,800000.0,2.0,1.0,970.0,11325.6,1890.0,0,0,1,0,1.0,0
Angelino-Heights,1001 Garfield Ave,0,1,1550000.0,3.0,2.0,1441.0,8712.0,1911.0,0,1,1,0,1.0,0
Angelino-Heights,4115 4th Ave,0,1,830000.0,3.0,2.0,1400.0,3920.0,1936.0,0,0,1,1,2.0,0
Angelino-Heights,834 Micheltorena St,0,1,2405000.0,3.0,3.0,1743.0,6534.0,1924.0,1,1,2,0,0.0,0
Angelino-Heights,4822 Via Colina,1,0,688000.0,2.0,2.0,1036.0,1036.0,1978.0,1,1,1,1,2.0,1
Angelino-Heights,10612 Kareen Ct,0,1,1330000.0,3.0,4.0,1774.0,871.0,2022.0,1,0,3,1,2.0,0
Angelino-Heights,1102 Olmsted Dr,0,1,1600000.0,3.0,2.0,1989.0,7841.0,1935.0,0,1,1,0,2.0,0
Angelino-Heights,7320 Hawthorn Ave Unit 319,1,0,500000.0,1.0,1.0,550.0,550.0,1985.0,1,1,1,1,2.0,0
Angelino-Heights,207 S Oakland Ave Unit A,1,0,1002000.0,3.0,3.0,1641.0,1641.0,1979.0,1,1,2,1,2.0,0
Angelino-Heights,747 E California Blvd Unit 2,1,0,950000.0,2.0,3.0,1492.0,1492.0,1982.0,0,1,2,1,2.0,0
Angelino-Heights,1611 W 48th St,0,1,690000.0,3.0,2.0,1730.0,5227.0,1911.0,1,1,1,0,1.0,0
Angelino-Heights,121 S Hope St Unit 204,1,0,650000.0,2.0,2.0,1253.0,1253.0,1980.0,1,0,1,0,2.0,0
Angelino-Heights,1613 W 59th Pl,0,1,470000.0,2.0,1.0,617.0,3049.0,1922.0,0,0,1,0,0.0,0
Angelino-Heights,544 N Marengo Ave Unit 5,1,0,680000.0,3.0,2.0,1302.0,1302.0,1987.0,1,0,2,0,2.0,0
Angelino-Heights,680 Plymouth Rd,0,1,1860000.0,3.0,3.0,1910.0,5227.0,1927.0,1,1,2,1,2.0,0
Angelino-Heights,4035 Mcclung Dr,0,1,850000.0,3.0,2.0,2160.0,6534.0,1965.0,0,1,1,0,2.0,0
Angelino-Heights,11217 Valley Spring Ln,0,1,1452000.0,3.0,2.0,1506.0,6098.0,1946.0,0,1,1,0,2.0,0
Angelino-Heights,1257 Fraser Ave,0,1,812000.0,4.0,2.0,1843.0,4792.0,1955.0,0,0,1,0,0.0,0
